case_index,length,pattern,lane_mask,ack_lane_mask,crc32,result
0,16,counter,0x1,0x1,0xcecee288,PASS
1,16,prbs7,0x1,0x1,0xe655d632,PASS
2,31,counter,0x1,0x1,0x4d786d77,PASS
3,31,prbs7,0x1,0x1,0x77a113e1,PASS
4,64,counter,0x1,0x1,0x100ece8c,PASS
5,64,prbs7,0x1,0x1,0xec2c1ee6,PASS
6,16,counter,0x2,0x2,0xcecee288,PASS
7,16,prbs7,0x2,0x2,0xe655d632,PASS
8,31,counter,0x2,0x2,0x4d786d77,PASS
9,31,prbs7,0x2,0x2,0x77a113e1,PASS
10,64,counter,0x2,0x2,0x100ece8c,PASS
11,64,prbs7,0x2,0x2,0xec2c1ee6,PASS
12,16,counter,0x3,0x3,0xcecee288,PASS
13,16,prbs7,0x3,0x3,0xe655d632,PASS
14,31,counter,0x3,0x3,0x4d786d77,PASS
15,31,prbs7,0x3,0x3,0x77a113e1,PASS
16,64,counter,0x3,0x3,0x100ece8c,PASS
17,64,prbs7,0x3,0x3,0xec2c1ee6,PASS
